first_name,last_name,dob,ent_id,id,block
HERBERT,ALBRECHT,1985/12/15,39,3265,A
GUENTHER,MUELLER,1942/03/29,76,4350,M
HERBERT,HARTSANN,1969/04/25,85,4448,H
UWE,MOELLER,1936/09/04,157,3537,M
FLORIXAN,MEIER,2002/01/09,159,1924,M
BERND,KUEHN,2002/09/18,183,2468,K
MANFRED,MAYWR,1936/04/21,193,4993,M
GERHARD,FISCHER,1967/10/23,205,3844,F
RUEDIGER,LANGER,1941/12/20,215,3766,L
HORSTZ,SCHULTE,1999/10/22,227,1484,S
HORST,SCHWARZ,1985/10/14,232,1798,S
JOERG,FISCHER,1938/02/09,251,3203,F
HRANS,SCHMITT,1945/08/14,329,1957,S
GUENTHER,MARTIN,1968/05/26,430,3716,M
UWE,SCHWARZ,1963/09/17,510,2045,S
PETER ROLF,ZIMMERMANN,1935/11/21,558,4548,Z
THOMAS,MUELLER,1962/12/12,561,3490,M
HERBERT,SCHUBERT,1958/10/22,648,884,S
WOLFGANG,SCHMIDT,1968/05/29,736,4549,S
MICHAEL,WEBER,1976/03/31,780,4382,W
WERNJER,KOCH,1953/03/03,830,4412,K
WILLI,PETERS,1963/07/09,831,2896,P
HORST THOMAS,SCHROEADER,1936/05/10,895,4127,S
KLAUS,BERGER,1969/02/13,905,1355,B
JOERG,ZIMMERMANN,1961/07/03,923,3430,Z
BERND,KRUEGER,1968/05/17,1026,1706,K
HELMAUT,MAYER,1965/07/23,1033,1068,M
HORST,MUELLER,1991/09/07,1112,3165,M
CARSTEN,FRIEDRICH,1934/11/15,1113,4578,F
FRANK,LORENZ,1951/12/02,1165,4482,L
MICHCAEL,GRAF,1964/12/13,1179,1449,G
JENSB JUERGEN,KLEIN,1933/08/16,1191,3461,K
THOMAS,KRAUSE,1958/03/18,1198,4306,K
PETERJ,SCHROEDER,1997/01/18,1202,4100,S
MICHAEL,FJCHS,1966/05/17,1213,2018,F
THOMAS,KRUEHER,1964/01/27,1225,1517,K
ULRICH,HOFMANN,1964/02/08,1252,4086,H
HELMUT,BERGER,1955/07/27,1266,3842,B
JENS,DIETRICH,1968/08/24,1367,3624,D
HERMANN,MUELLER,1990/10/02,1373,2377,M
THOMWAS,WOLF,1997/06/20,1377,4365,W
GERHARD,MEYER,1947/10/24,1430,2992,M
OLIVXER,MUELLER,1946/04/06,1433,4450,M
HEINZ,FISCHFER,1980/04/29,1465,2487,F
HEINZ,WINKLER,1965/12/07,1478,1867,W
PAUBL,MAIER,1947/06/11,1497,657,M
ROLF,WAGENR,1924/09/28,1522,4786,W
JOERG,ALBRECHT,1979/10/25,1543,4394,A
UWE,FISCHER,1970/11/01,1549,2328,F
HEIKO,KAISER,1972/11/27,1570,2960,K
STEFAN,FUCHS,1997/04/26,1619,4979,F
KARL,RICTER,1965/09/29,1634,4847,R
CHRISTOPH,GUENTHER,1986/05/01,1641,2967,G
